text,pilot,file
"CQ15: How/Using which tools is the set of bells played, when played manually?",BELLS,file:///Users/ed4565/Development/polifonia/wp4-competency-questions/./stories/Keoma:%20Architect/Keoma%231_RestorationAndSoundPractices.md
"CQ19: If this is the case, to what larger work does the composition belong?",TONALITIES,file:///Users/ed4565/Development/polifonia/wp4-competency-questions/./stories/Sethus:%20Music%20Theorist/Sethus%233_ConflictingAnalyticalAnnotations.md
"CQ1: Can I search for a musical content by applying filters (genre, historical period ...)?","",file:///Users/ed4565/Development/polifonia/wp4-competency-questions/./stories/Laurent:%20Music%20Journalist/Laurent%231_MusicArchives.md
"CQ1: Can we identify a tune (e.g. from an oral tradition) in our collection with music in another documented collection, e.g. RISM, NEUMA, ABC",TUNES,file:///Users/ed4565/Development/polifonia/wp4-competency-questions/./stories/Mark:%20Computational%20Musicologist/Mark%231_FolkMusic.md
"CQ1: Is there a digital space to represent and describe the concept of ""Opus"", and store digital scores related to an opus ?",FACETS,file:///Users/ed4565/Development/polifonia/wp4-competency-questions/./stories/Jorge:%20Librarian/Jorge%231_OrganizeMyLibrary.md
"CQ1: Search operations should be expressed on either raw-level features (eg melodic lines) or higher-level features (eg modes, cadences, triad patterns, etc.). The systm should retrieve efficiently all sources that match the search pattern, and identifiy pattern occurrences",FACETS,file:///Users/ed4565/Development/polifonia/wp4-competency-questions/./stories/Sethus:%20Music%20Theorist/Sethus%232_CreateRelevantCorpus.md
"CQ1: To which modes Vide homo has been assigned to in Tonalities? Leonhard, Bernhard, Harold, Siegfried, Frans and Alexander relate the motet to the tonus peregrinus. Robert, however, considers the work to be written in the mixolydian mode.",TONALITIES,file:///Users/ed4565/Development/polifonia/wp4-competency-questions/./stories/Sethus:%20Music%20Theorist/Sethus%231_ConflictingTheoreticalInterpretations.md
"CQ1: To which modes Vide homo has been assigned to in Tonalities? Leonhard, Bernhard, Harold, Siegfried, Frans and Alexander relate the motet to the tonus peregrinus. Robert, however, considers the work to be written in the mixolydian mode.",TONALITIES,file:///Users/ed4565/Development/polifonia/wp4-competency-questions/./stories/Sethus:%20Music%20Theorist/Sethus%233_ConflictingAnalyticalAnnotations.md
"CQ1: What are geographically distinct features of organs from region X? (e.g., in what differ 17th century Southern German organs from 17th century Spanish organs?).",ORGANS,file:///Users/ed4565/Development/polifonia/wp4-competency-questions/./stories/Amy:%20Organologist/Amy%231_OrganTrends.md
"CQ2. What relationships exist between different sources of information, e.g. payslips and accounts?",MEETUPS,file:///Users/ed4565/Development/polifonia/wp4-competency-questions/./stories/Sophia:%20Musicologist/Sophia%231_MusiciansAndTheirEnvironment.md
"CQ2. Why was a piece of music written to be evocative of something, e.g. the call of a cuckoo?","",file:///Users/ed4565/Development/polifonia/wp4-competency-questions/./stories/Sophia:%20Musicologist/Sophia%232_OriginsAndForm.md
"CQ2.10 Are there related events connected to the production of the source? E.g. national fests, war period, political or historical events",CHILD,file:///Users/ed4565/Development/polifonia/wp4-competency-questions/./stories/Ortenz:%20Music%20Historian/Ortenz%231_MusicAndChildhood.md
"CQ2.11 What is context of usage of the source? E.g. propaganda, personal account, review of an event, teaching",CHILD,file:///Users/ed4565/Development/polifonia/wp4-competency-questions/./stories/Ortenz:%20Music%20Historian/Ortenz%231_MusicAndChildhood.md
"CQ2.8 What type of source is it? E.g. Literary text, painting",CHILD,file:///Users/ed4565/Development/polifonia/wp4-competency-questions/./stories/Ortenz:%20Music%20Historian/Ortenz%231_MusicAndChildhood.md
"CQ2.9 What is the context of production of the source? E.g. academic, official source, personal or primary source, commission to an artist",CHILD,file:///Users/ed4565/Development/polifonia/wp4-competency-questions/./stories/Ortenz:%20Music%20Historian/Ortenz%231_MusicAndChildhood.md
"CQ20: If this is the case, in what other work(s) is the compositions quoted?",TONALITIES,file:///Users/ed4565/Development/polifonia/wp4-competency-questions/./stories/Sethus:%20Music%20Theorist/Sethus%233_ConflictingAnalyticalAnnotations.md
"CQ20: Using which execution technique(s) is the set of bells played, when played manually?",BELLS,file:///Users/ed4565/Development/polifonia/wp4-competency-questions/./stories/Keoma:%20Architect/Keoma%231_RestorationAndSoundPractices.md
"CQ23: If available online, what is the URL of the composition?",TONALITIES,file:///Users/ed4565/Development/polifonia/wp4-competency-questions/./stories/Sethus:%20Music%20Theorist/Sethus%233_ConflictingAnalyticalAnnotations.md
"CQ24: In the case of a manuscript/printed source, where is it housed?",TONALITIES,file:///Users/ed4565/Development/polifonia/wp4-competency-questions/./stories/Sethus:%20Music%20Theorist/Sethus%233_ConflictingAnalyticalAnnotations.md
"CQ26: If any, what is the license of the transcription?",TONALITIES,file:///Users/ed4565/Development/polifonia/wp4-competency-questions/./stories/Sethus:%20Music%20Theorist/Sethus%233_ConflictingAnalyticalAnnotations.md
"CQ29: To what tune families is tune family X related, given similarity measure Y?",TUNES,file:///Users/ed4565/Development/polifonia/wp4-competency-questions/./stories/Mark:%20Computational%20Musicologist/Mark%231_FolkMusic.md
"CQ2: Am I proposed  the most relevant criterias, or combination of criterias,  to expand an initial search ?",FACETS,file:///Users/ed4565/Development/polifonia/wp4-competency-questions/./stories/Jorge:%20Librarian/Jorge%232_FindSimilarScores.md
"CQ2: Are the criteria on which these interpretations are based true in the score and, if so, to what extent?",TONALITIES,file:///Users/ed4565/Development/polifonia/wp4-competency-questions/./stories/Sethus:%20Music%20Theorist/Sethus%231_ConflictingTheoreticalInterpretations.md
"CQ2: Are the criteria on which these interpretations are based true in the score and, if so, to what extent?",TONALITIES,file:///Users/ed4565/Development/polifonia/wp4-competency-questions/./stories/Sethus:%20Music%20Theorist/Sethus%233_ConflictingAnalyticalAnnotations.md
"CQ2: Can we compare music from different collections, e.g. from different countries to show connections/influences between musical styles?",TUNES,file:///Users/ed4565/Development/polifonia/wp4-competency-questions/./stories/Mark:%20Computational%20Musicologist/Mark%231_FolkMusic.md
"CQ2: Did musician X and performer Y ever met? Where, when, and why?",MEETUPS,file:///Users/ed4565/Development/polifonia/wp4-competency-questions/./stories/Ortenz:%20Music%20Historian/Ortenz%232_MusicalSocialNetwork.md
"CQ2: Is my collections and subcollections organisation based on clear concepts (e.g., genre, composer, period...) to gather Opuses ?",FACETS,file:///Users/ed4565/Development/polifonia/wp4-competency-questions/./stories/Jorge:%20Librarian/Jorge%231_OrganizeMyLibrary.md
"CQ2: What tunes are similar to tune X, given similarity measure Y?",TUNES,file:///Users/ed4565/Development/polifonia/wp4-competency-questions/./stories/Brendan:%20Traditional%20Musician/Brendan%231_FindTraditionalMusic.md
"CQ3: Am I able to nagivate, search and visualize  my collections and opus ?",FACETS,file:///Users/ed4565/Development/polifonia/wp4-competency-questions/./stories/Jorge:%20Librarian/Jorge%231_OrganizeMyLibrary.md
"CQ3: At each step, the result set takes the form of a subcorpus organized according to rich relationships, and enriched with user annotations",FACETS,file:///Users/ed4565/Development/polifonia/wp4-competency-questions/./stories/Sethus:%20Music%20Theorist/Sethus%232_CreateRelevantCorpus.md
"CQ3: Can I link fragments of sources and fragments of scores, such as for instance a measure in an Opus with a part of a reecording ?",FACETS,file:///Users/ed4565/Development/polifonia/wp4-competency-questions/./stories/Jorge:%20Librarian/Jorge%234LinkToSources.md
"CQ3: Can one assume that the modal ambiguity evidenced by the analytical interpretations is intended? Harold sees, for example, the use of modes in Lagrime as a religious symbol. Alexander suggests that Tansillo's texts set to music by Lassus can be read as an examination of conscience, advocated by post-Tridentine spirituality. Can these hypotheses be substantiated on the basis of Polifonia's analytical and heritage knowledge?",TONALITIES,file:///Users/ed4565/Development/polifonia/wp4-competency-questions/./stories/Sethus:%20Music%20Theorist/Sethus%231_ConflictingTheoreticalInterpretations.md
"CQ3: Can we compare music longitudinally, e.g. to see evolution of tonality and transition from modal to tonal? Working either at manuscript of collection level.",TUNES,file:///Users/ed4565/Development/polifonia/wp4-competency-questions/./stories/Mark:%20Computational%20Musicologist/Mark%231_FolkMusic.md
"CQ3: Can we visualize the relations between different media, different music etc?",INTERLINK,file:///Users/ed4565/Development/polifonia/wp4-competency-questions/./stories/Keith:%20Music%20Producer/Keith%231_MusicConnections.md
"CQ3: Given a set of tunes, from which collections are these tunes?",TUNES,file:///Users/ed4565/Development/polifonia/wp4-competency-questions/./stories/Brendan:%20Traditional%20Musician/Brendan%231_FindTraditionalMusic.md
"CQ3: How do libretto and music relate, e.g. in describing an emotion?","",file:///Users/ed4565/Development/polifonia/wp4-competency-questions/./stories/Ralph:%20Music%20Historian/Ralph%231_WordsAndMusic.md
"CQ3: In which context is the building located (urban, periurban...)?",BELLS,file:///Users/ed4565/Development/polifonia/wp4-competency-questions/./stories/Keoma:%20Architect/Keoma%231_RestorationAndSoundPractices.md
"CQ3: Which are all organs near to geographic coordinates x, y?",ORGANS,file:///Users/ed4565/Development/polifonia/wp4-competency-questions/./stories/Paul:%20Organ%20Advisor/Paul%231_OrganComparison.md
"CQ4. What relationships exist in a multi-line piece of music, i.e. over time and between the lines?","",file:///Users/ed4565/Development/polifonia/wp4-competency-questions/./stories/Sophia:%20Musicologist/Sophia%232_OriginsAndForm.md
"CQ4: A result set can be stored (in intention, not in extension) as a Relevant Corpus, and its definition can be revised at any moment",FACETS,file:///Users/ed4565/Development/polifonia/wp4-competency-questions/./stories/Sethus:%20Music%20Theorist/Sethus%232_CreateRelevantCorpus.md
"CQ4: Apart from Lasso’s possible exegetical intentions, what does this work tell us about the status of the modes at this moment in the history of composition?",TONALITIES,file:///Users/ed4565/Development/polifonia/wp4-competency-questions/./stories/Sethus:%20Music%20Theorist/Sethus%231_ConflictingTheoreticalInterpretations.md
"CQ4: Can we visualize changes in musical style over time, e.g. transition from modal to tonal (evolution curves - see Weiss et al. 2018 ‘Investigating style evolution of Western classical music: A computational approach’) - with zooming",TUNES,file:///Users/ed4565/Development/polifonia/wp4-competency-questions/./stories/Mark:%20Computational%20Musicologist/Mark%231_FolkMusic.md
"CQ4: Given a set of tunes, what tunes are from collection X?",TUNES,file:///Users/ed4565/Development/polifonia/wp4-competency-questions/./stories/Brendan:%20Traditional%20Musician/Brendan%231_FindTraditionalMusic.md
"CQ4: How does the presentation (text and music) of a work, e.g. an operatic aria, change over time, and depending on the artist?","",file:///Users/ed4565/Development/polifonia/wp4-competency-questions/./stories/Ralph:%20Music%20Historian/Ralph%231_WordsAndMusic.md
"CQ5. In early written music, what is left of the preceding unwritten tradition?","",file:///Users/ed4565/Development/polifonia/wp4-competency-questions/./stories/Sophia:%20Musicologist/Sophia%232_OriginsAndForm.md
"CQ51: Given organ X, what organs are similar according to similarity measure Y?",ORGANS,file:///Users/ed4565/Development/polifonia/wp4-competency-questions/./stories/Paul:%20Organ%20Advisor/Paul%231_OrganComparison.md
"CQ5: Can we visualize interconnections, e.g. of tunes which share melodic patterns or geographical origin?",TUNES,file:///Users/ed4565/Development/polifonia/wp4-competency-questions/./stories/Mark:%20Computational%20Musicologist/Mark%231_FolkMusic.md
"CQ5: How have the music and libretto been influenced by the historical, e.g. social, political and cultural, environment?","",file:///Users/ed4565/Development/polifonia/wp4-competency-questions/./stories/Ralph:%20Music%20Historian/Ralph%231_WordsAndMusic.md
"CQ5: Identify the dimensions and/or features that are relevant to support an on-the-fly reorganization of the digital library, whenever the standard organization does not meet the user's expectations",FACETS,file:///Users/ed4565/Development/polifonia/wp4-competency-questions/./stories/Jorge:%20Librarian/Jorge%231_OrganizeMyLibrary.md
"CQ5: Which performers (musicians, singers) have performed musical composition X? ",MUSICBO,file:///Users/ed4565/Development/polifonia/wp4-competency-questions/./stories/Carolina:%20Music%20Historian/Carolina%231_SourcesCrossAnalysis.md
"CQ6)What contexts are the word x, y, z, h related to?",MUSICBO,file:///Users/ed4565/Development/polifonia/wp4-competency-questions/./stories/Valeriana%20:%20Linguist/Valeriana%232_Terminology.md
"CQ6. How does the corpus of a composer compare with that of other composers, particularly those writing at the same time?","",file:///Users/ed4565/Development/polifonia/wp4-competency-questions/./stories/Sophia:%20Musicologist/Sophia%232_OriginsAndForm.md
"CQ6: Can I progressively explore the content of my library, adding criteria to refine large results ?",FACETS,file:///Users/ed4565/Development/polifonia/wp4-competency-questions/./stories/Jorge:%20Librarian/Jorge%231_OrganizeMyLibrary.md
"CQ6: Which performers (musicians, singers) have performed musical composition X for the first time? ",MUSICBO,file:///Users/ed4565/Development/polifonia/wp4-competency-questions/./stories/Carolina:%20Music%20Historian/Carolina%231_SourcesCrossAnalysis.md
"CQ7. Can we use a statistical comparison, or a particular ‘thumbprint’ in the music, to identify the composer of a piece of music?","",file:///Users/ed4565/Development/polifonia/wp4-competency-questions/./stories/Sophia:%20Musicologist/Sophia%232_OriginsAndForm.md
"CQ7: Are there significant variations in the frequencies between the manually produced sound and the electric sound, such as to have repercussions on the soundscape?",BELLS,file:///Users/ed4565/Development/polifonia/wp4-competency-questions/./stories/Keoma:%20Architect/Keoma%231_RestorationAndSoundPractices.md
"CQ7: What are the relations between the relevant countries, compositions, composers and performers in the various collections?",INTERLINK,file:///Users/ed4565/Development/polifonia/wp4-competency-questions/./stories/William:%20Curator%20Europeana/William%231EuropeanFolkMusic.md
"CQ8. When a musical structure, e.g. a motif, is found in two composers, is one copied from the other, or do they come out of a previous tradition?","",file:///Users/ed4565/Development/polifonia/wp4-competency-questions/./stories/Sophia:%20Musicologist/Sophia%232_OriginsAndForm.md
"CQ8: Has another musical piece ""the user likes"" been recorded in the same venue?",INTERLINK,file:///Users/ed4565/Development/polifonia/wp4-competency-questions/./stories/Sonia:%20Playlist%20User/Sonia%231_ExplorationMode.md
"CQ8: How have the relations between the relevant countries, compositions, composers and performers in the various collections changed over time?",INTERLINK,file:///Users/ed4565/Development/polifonia/wp4-competency-questions/./stories/William:%20Curator%20Europeana/William%231EuropeanFolkMusic.md
"CQ9: Are there excerpts of the lyrics available for a musical piece? If yes, which are they?",INTERLINK,file:///Users/ed4565/Development/polifonia/wp4-competency-questions/./stories/Sonia:%20Playlist%20User/Sonia%231_ExplorationMode.md
"Previous set of CQs. These are quite abstract, but not yet all covered by the set of CQs in the section above.",TUNES,file:///Users/ed4565/Development/polifonia/wp4-competency-questions/./stories/Mark:%20Computational%20Musicologist/Mark%231_FolkMusic.md
CQ1)what are the meanings of the word 'vocality' in Italian (x)?,MUSICBO,file:///Users/ed4565/Development/polifonia/wp4-competency-questions/./stories/Valeriana%20:%20Linguist/Valeriana%232_Terminology.md
CQ1. What is the difference between the ‘official’ perception of the role of music and how music is experienced?,CHILD,file:///Users/ed4565/Development/polifonia/wp4-competency-questions/./stories/Ortenz:%20Music%20Historian/Ortenz%231_MusicAndChildhood.md
CQ1.2 What are the official sources? What are the sources produced by ordinary people?,CHILD,file:///Users/ed4565/Development/polifonia/wp4-competency-questions/./stories/Ortenz:%20Music%20Historian/Ortenz%231_MusicAndChildhood.md
CQ1.4 What are the goals of the source?,CHILD,file:///Users/ed4565/Development/polifonia/wp4-competency-questions/./stories/Ortenz:%20Music%20Historian/Ortenz%231_MusicAndChildhood.md
CQ1.5 What is the emotional response of music listeners/authors in both types of sources?,CHILD,file:///Users/ed4565/Development/polifonia/wp4-competency-questions/./stories/Ortenz:%20Music%20Historian/Ortenz%231_MusicAndChildhood.md
CQ10: Are the theoretical models on which these criteria are based – for example the Zarlinian cadential scheme ^1-^3-^5 – in line with this work?,TONALITIES,file:///Users/ed4565/Development/polifonia/wp4-competency-questions/./stories/Sethus:%20Music%20Theorist/Sethus%233_ConflictingAnalyticalAnnotations.md
CQ10: How does the world of brass bands connect with that of elite music?,MEETUPS,file:///Users/ed4565/Development/polifonia/wp4-competency-questions/./stories/David:%20Music%20Historian/David%231_MusicHistorian.md
CQ10: How many search results are there per genre?,INTERLINK,file:///Users/ed4565/Development/polifonia/wp4-competency-questions/./stories/William:%20Curator%20Europeana/William%231EuropeanFolkMusic.md
CQ10: In what combinations of instruments the instrument was used?,"",file:///Users/ed4565/Development/polifonia/wp4-competency-questions/./stories/Sophia:%20Musicologist/Sophia%233_Reorchestration.md
CQ10: In which historical documents is there evidence of reception of musical composition X? ,MUSICBO,file:///Users/ed4565/Development/polifonia/wp4-competency-questions/./stories/Carolina:%20Music%20Historian/Carolina%231_SourcesCrossAnalysis.md
CQ10: Is the excerpt of the lyric featured in other musical pieces?,INTERLINK,file:///Users/ed4565/Development/polifonia/wp4-competency-questions/./stories/Sonia:%20Playlist%20User/Sonia%231_ExplorationMode.md
CQ10: Which are all organs with pedal range starting lower than X?,ORGANS,file:///Users/ed4565/Development/polifonia/wp4-competency-questions/./stories/Paul:%20Organ%20Advisor/Paul%231_OrganComparison.md
CQ10: Which is the extension of the whole set of bells in a bell tower?,BELLS,file:///Users/ed4565/Development/polifonia/wp4-competency-questions/./stories/Keoma:%20Architect/Keoma%231_RestorationAndSoundPractices.md
CQ10: Who was/were the scribe(s) of (manuscript) source X?,TUNES,file:///Users/ed4565/Development/polifonia/wp4-competency-questions/./stories/Mark:%20Computational%20Musicologist/Mark%231_FolkMusic.md
CQ11: In which bibliographic references is there evidence of reception of musical composition X? ,MUSICBO,file:///Users/ed4565/Development/polifonia/wp4-competency-questions/./stories/Carolina:%20Music%20Historian/Carolina%231_SourcesCrossAnalysis.md
CQ11: What are the connections between printed sources and manuscripts? (manuscripts could be copies of printed sources),TUNES,file:///Users/ed4565/Development/polifonia/wp4-competency-questions/./stories/Mark:%20Computational%20Musicologist/Mark%231_FolkMusic.md
CQ11: What are the differences between ancient and modern version of the same instrument?,"",file:///Users/ed4565/Development/polifonia/wp4-competency-questions/./stories/Sophia:%20Musicologist/Sophia%233_Reorchestration.md
CQ11: What is the relevant metadata for music collections and what do the different fields mean?,INTERLINK,file:///Users/ed4565/Development/polifonia/wp4-competency-questions/./stories/William:%20Curator%20Europeana/William%231EuropeanFolkMusic.md
CQ11: What is the tension between the expected theoretical criteria and their actual realisation in the work?,TONALITIES,file:///Users/ed4565/Development/polifonia/wp4-competency-questions/./stories/Sethus:%20Music%20Theorist/Sethus%233_ConflictingAnalyticalAnnotations.md
CQ11: What was the repertoire of scribe X (i.e. all compostions written down by X)?,TUNES,file:///Users/ed4565/Development/polifonia/wp4-competency-questions/./stories/Mark:%20Computational%20Musicologist/Mark%231_FolkMusic.md
CQ11: Which are all organs with pedal range ending higher than X?,ORGANS,file:///Users/ed4565/Development/polifonia/wp4-competency-questions/./stories/Paul:%20Organ%20Advisor/Paul%231_OrganComparison.md
CQ11: Which is the source of the excerpt of the lyrics?,INTERLINK,file:///Users/ed4565/Development/polifonia/wp4-competency-questions/./stories/Sonia:%20Playlist%20User/Sonia%231_ExplorationMode.md
CQ11: Which is the weight of the bell?,BELLS,file:///Users/ed4565/Development/polifonia/wp4-competency-questions/./stories/Keoma:%20Architect/Keoma%231_RestorationAndSoundPractices.md
CQ12: To what corpus does this work belong?,TONALITIES,file:///Users/ed4565/Development/polifonia/wp4-competency-questions/./stories/Sethus:%20Music%20Theorist/Sethus%233_ConflictingAnalyticalAnnotations.md
CQ12: Which are all organs with wind system type X?,ORGANS,file:///Users/ed4565/Development/polifonia/wp4-competency-questions/./stories/Paul:%20Organ%20Advisor/Paul%231_OrganComparison.md
CQ12: Which are the measures of the bell?,BELLS,file:///Users/ed4565/Development/polifonia/wp4-competency-questions/./stories/Keoma:%20Architect/Keoma%231_RestorationAndSoundPractices.md
CQ12: Which is the medium of performance of musical composition X? ,MUSICBO,file:///Users/ed4565/Development/polifonia/wp4-competency-questions/./stories/Carolina:%20Music%20Historian/Carolina%231_SourcesCrossAnalysis.md
CQ12: Who was the author of a piece of music?,MEETUPS,file:///Users/ed4565/Development/polifonia/wp4-competency-questions/./stories/David:%20Music%20Historian/David%231_MusicHistorian.md
CQ12: Who was the publisher of (printed) source X?,TUNES,file:///Users/ed4565/Development/polifonia/wp4-competency-questions/./stories/Mark:%20Computational%20Musicologist/Mark%231_FolkMusic.md
CQ13: What is publication year of printed source X?,TUNES,file:///Users/ed4565/Development/polifonia/wp4-competency-questions/./stories/Mark:%20Computational%20Musicologist/Mark%231_FolkMusic.md
CQ13: What is the name of the corpus?,TONALITIES,file:///Users/ed4565/Development/polifonia/wp4-competency-questions/./stories/Sethus:%20Music%20Theorist/Sethus%233_ConflictingAnalyticalAnnotations.md
CQ13: What kind of execution techniques are possible to perform according to a specific mounting system?,BELLS,file:///Users/ed4565/Development/polifonia/wp4-competency-questions/./stories/Keoma:%20Architect/Keoma%231_RestorationAndSoundPractices.md
CQ13: What was the country of origin of a piece of music?,MEETUPS,file:///Users/ed4565/Development/polifonia/wp4-competency-questions/./stories/David:%20Music%20Historian/David%231_MusicHistorian.md
CQ13: Which are all organs with temperament X?,ORGANS,file:///Users/ed4565/Development/polifonia/wp4-competency-questions/./stories/Paul:%20Organ%20Advisor/Paul%231_OrganComparison.md
CQ13: Which was the first medium of performance of musical composition X? ,MUSICBO,file:///Users/ed4565/Development/polifonia/wp4-competency-questions/./stories/Carolina:%20Music%20Historian/Carolina%231_SourcesCrossAnalysis.md
CQ14: What is the pseudonyme of the composer for X?,TONALITIES,file:///Users/ed4565/Development/polifonia/wp4-competency-questions/./stories/Sethus:%20Music%20Theorist/Sethus%233_ConflictingAnalyticalAnnotations.md
CQ14: Which are all compositions that are in source X?,TUNES,file:///Users/ed4565/Development/polifonia/wp4-competency-questions/./stories/Mark:%20Computational%20Musicologist/Mark%231_FolkMusic.md
CQ14: Which are all organs with year of construction after X?,ORGANS,file:///Users/ed4565/Development/polifonia/wp4-competency-questions/./stories/Paul:%20Organ%20Advisor/Paul%231_OrganComparison.md
CQ14: Which instruments are involved in musical composition X? ,MUSICBO,file:///Users/ed4565/Development/polifonia/wp4-competency-questions/./stories/Carolina:%20Music%20Historian/Carolina%231_SourcesCrossAnalysis.md
CQ15: What is current location of source X?,TUNES,file:///Users/ed4565/Development/polifonia/wp4-competency-questions/./stories/Mark:%20Computational%20Musicologist/Mark%231_FolkMusic.md
CQ15: What is the birthdate of the composer?,TONALITIES,file:///Users/ed4565/Development/polifonia/wp4-competency-questions/./stories/Sethus:%20Music%20Theorist/Sethus%233_ConflictingAnalyticalAnnotations.md
CQ15: Which are all organs with year of construction before X?,ORGANS,file:///Users/ed4565/Development/polifonia/wp4-competency-questions/./stories/Paul:%20Organ%20Advisor/Paul%231_OrganComparison.md
CQ15: Which voices are involved in musical composition X? ,MUSICBO,file:///Users/ed4565/Development/polifonia/wp4-competency-questions/./stories/Carolina:%20Music%20Historian/Carolina%231_SourcesCrossAnalysis.md
CQ16: In which tonality was written the musical composition X for the first time? ,MUSICBO,file:///Users/ed4565/Development/polifonia/wp4-competency-questions/./stories/Carolina:%20Music%20Historian/Carolina%231_SourcesCrossAnalysis.md
CQ16: What is the date of death of the composer?,TONALITIES,file:///Users/ed4565/Development/polifonia/wp4-competency-questions/./stories/Sethus:%20Music%20Theorist/Sethus%233_ConflictingAnalyticalAnnotations.md
CQ16: Where is the church/bell tower?,BELLS,file:///Users/ed4565/Development/polifonia/wp4-competency-questions/./stories/Keoma:%20Architect/Keoma%231_RestorationAndSoundPractices.md
CQ16: Where to find a digital scan of source X (url)?,TUNES,file:///Users/ed4565/Development/polifonia/wp4-competency-questions/./stories/Mark:%20Computational%20Musicologist/Mark%231_FolkMusic.md
CQ16: Which are all organs built by organ builder X?,ORGANS,file:///Users/ed4565/Development/polifonia/wp4-competency-questions/./stories/Paul:%20Organ%20Advisor/Paul%231_OrganComparison.md
CQ17: How many bells are in the church?,BELLS,file:///Users/ed4565/Development/polifonia/wp4-competency-questions/./stories/Keoma:%20Architect/Keoma%231_RestorationAndSoundPractices.md
CQ17: To what genre does the composition belong?,TONALITIES,file:///Users/ed4565/Development/polifonia/wp4-competency-questions/./stories/Sethus:%20Music%20Theorist/Sethus%233_ConflictingAnalyticalAnnotations.md
CQ17: What is the title of composition X in source Y?,TUNES,file:///Users/ed4565/Development/polifonia/wp4-competency-questions/./stories/Mark:%20Computational%20Musicologist/Mark%231_FolkMusic.md
CQ17: Which are all organs which has been maintained or restored by builder X?,ORGANS,file:///Users/ed4565/Development/polifonia/wp4-competency-questions/./stories/Paul:%20Organ%20Advisor/Paul%231_OrganComparison.md
CQ17: Which is/are the composer(s) of the musical composition X? ,MUSICBO,file:///Users/ed4565/Development/polifonia/wp4-competency-questions/./stories/Carolina:%20Music%20Historian/Carolina%231_SourcesCrossAnalysis.md
CQ18: To what collection does of the composition belong?,TONALITIES,file:///Users/ed4565/Development/polifonia/wp4-competency-questions/./stories/Sethus:%20Music%20Theorist/Sethus%233_ConflictingAnalyticalAnnotations.md
CQ18: What is the tune indication of composition X in source Y?,TUNES,file:///Users/ed4565/Development/polifonia/wp4-competency-questions/./stories/Mark:%20Computational%20Musicologist/Mark%231_FolkMusic.md
CQ18: Which are all organs that are linked to person X?,ORGANS,file:///Users/ed4565/Development/polifonia/wp4-competency-questions/./stories/Paul:%20Organ%20Advisor/Paul%231_OrganComparison.md
CQ18: Which is the mouth diameter of the bell?,BELLS,file:///Users/ed4565/Development/polifonia/wp4-competency-questions/./stories/Keoma:%20Architect/Keoma%231_RestorationAndSoundPractices.md
CQ18: Who has spoken about the musical composition X? ,MUSICBO,file:///Users/ed4565/Development/polifonia/wp4-competency-questions/./stories/Carolina:%20Music%20Historian/Carolina%231_SourcesCrossAnalysis.md
CQ19: On what page (or folio) is composition X in source Y?,TUNES,file:///Users/ed4565/Development/polifonia/wp4-competency-questions/./stories/Mark:%20Computational%20Musicologist/Mark%231_FolkMusic.md
CQ19: Which are all organs with more than X bellows?,ORGANS,file:///Users/ed4565/Development/polifonia/wp4-competency-questions/./stories/Paul:%20Organ%20Advisor/Paul%231_OrganComparison.md
